~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
ALL EXPERIMENT ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
Refresh,Some element changes will require you to refresh the element. If a change isn't taking effect immediately in the Game or Scene view window simply refresh it.,
Exit Edit,Exits Edit Mode,
Exit Run,Exit Run Mode,
Exit Build,Exits Build Mode,
Edit,Quickly visualize and make changes to elements in the Scene and Game widows.,
Run,Run Element in isolation to test and make changes to dynamics.,
Build,Build mode allows you to export the element as an application that doesn't require Unity to run. This allows you to export and share smaller sections of the experiment with collegues that don't have Unity; a feature that is helpful during the experiment design process.,
Duplicate,Create and exact duplicate of the element. This is a quick way of creating elements that function similarly but have minor differences. ,
NameButton,Click here to change the Element's name or description,
Delete,Permanently delete this Element. If you wish to keep a copy of the element but want to remove it from the current Experiment navigate to the Element section in the Experiment Window select the element and click the minus (-) button at the buttom of the list. Experiment Elements contained in this element will not be deleted.,
UserManual,Click here to open the link to User Manual section for this element. You will be required to sign into your Experimenter Account to view the User Manual.,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
EXPERIMENT ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
InspectElement,Open the Element in the Element Inspector Window,
NewExperiment,Create a new Experiment. ,
OpenExperiment,Open an existing Experiment,
ExperimentElements,View and create new Experiment Elements,
DeleteExperiment,"Permanently delete the Experiment. Experiment Elements will not be deleted, only this Experiment containing them. ",
DuplicateExperiment,Create and exact duplicate of the Experiment. This is a quick way of creating an Experiment that function similarly but have minor differences. ,
UserManualExperiment,Click here to open the link to Experimenter User Manual. You will be required to sign into your Experimenter Account to view the User Manual.,
InfoSettings,Add or change the name and description of the Experiment. Setup data output. Add a virtual testing room to administering a non-immersive experiment on a screen in a virtual room using a virtual reality headset.,
ExperimentSessions,"View Sessions, create new Sessions, or add Sessions from other Experiments to this Experiment",
ExperimentBlocks,"View Blocks, create new Blocks, or add Blocks from other Experiments to this Experiment",
